"","","Barack ObamaDemocratic","","","John McCainRepublican","","","Ralph NaderIndependent","","","Bob BarrLibertarian","","","Chuck BaldwinConstitution","","","Cynthia McKinneyGreen","","","Others","","","Margin","","Total votes",""
"State/district","EV","#","%","EV","#","%","EV","#","%","EV","#","%","EV","#","%","EV","#","%","EV","#","%","EV","#","%","#",""
"Alabama","9","813,479","38.74%","-","1,266,546","60.32%","9","6,788","0.32%","-","4,991","0.24%","-","4,310","0.21%","-","0","0.00%","-","3,705","0.18%","-","-453,067","-21.58%","2,099,819","AL"
"Alaska","3","123,594","37.89%","-","193,841","59.42%","3","3,783","1.16%","-","1,589","0.49%","-","1,660","0.51%","-","0","0.00%","-","1,730","0.53%","-","-70,247","-21.54%","326,197","AK"
"Arizona","10","1,034,707","45.12%","-","1,230,111","53.64%","10","11,301","0.49%","-","12,555","0.55%","-","1,371","0.06%","-","3,406","0.15%","-","24","0.00%","-","-195,404","-8.52%","2,293,475","AZ"
"Arkansas","6","422,310","38.86%","-","638,017","58.72%","6","12,882","1.19%","-","4,776","0.44%","-","4,023","0.37%","-","3,470","0.32%","-","1,139","0.10%","-","-215,707","-19.85%","1,086,617","AR"
"California","55","8,274,473","61.01%","55","5,011,781","36.95%","-","108,381","0.80%","-","67,582","0.50%","-","3,145","0.02%","-","38,774","0.29%","-","57,764","0.43%","-","3,262,692","24.06%","13,561,900","CA"
"Colorado","9","1,288,633","53.66%","9","1,073,629","44.71%","-","13,352","0.56%","-","10,898","0.45%","-","6,233","0.26%","-","2,822","0.12%","-","5,895","0.25%","-","215,004","8.95%","2,401,462","CO"
"Connecticut","7","997,772","60.59%","7","629,428","38.22%","-","19,162","1.16%","-","0","0.00%","-","311","0.02%","-","90","0.01%","-","34","0.00%","-","368,344","22.37%","1,646,797","CT"
"Delaware","3","255,459","61.94%","3","152,374","36.95%","-","2,401","0.58%","-","1,109","0.27%","-","626","0.15%","-","385","0.09%","-","58","0.01%","-","103,085","25.00%","412,412","DE"
"District of Columbia","3","245,800","92.46%","3","17,367","6.53%","-","958","0.36%","-","0","0.00%","-","0","0.00%","-","590","0.22%","-","1,138","0.43%","-","228,433","85.92%","265,853","DC"
"Florida","27","4,282,074","51.03%","27","4,045,624","48.22%","-","28,124","0.34%","-","17,218","0.21%","-","7,915","0.09%","-","2,887","0.03%","-","6,902","0.08%","-","236,450","2.82%","8,390,744","FL"
"Georgia","15","1,844,123","46.99%","-","2,048,759","52.20%","15","1,158","0.03%","-","28,731","0.73%","-","1,402","0.04%","-","250","0.01%","-","63","0.00%","-","-204,636","-5.21%","3,924,486","GA"
"Hawaii","4","325,871","71.85%","4","120,566","26.58%","-","3,825","0.84%","-","1,314","0.29%","-","1,013","0.22%","-","979","0.22%","-","0","0.00%","-","205,305","45.26%","453,568","HI"
"Idaho","4","236,440","36.09%","-","403,012","61.52%","4","7,175","1.10%","-","3,658","0.56%","-","4,747","0.72%","-","39","0.01%","-","51","0.01%","-","-166,572","-25.43%","655,122","ID"
"Illinois","21","3,419,348","61.92%","21","2,031,179","36.78%","-","30,948","0.56%","-","19,642","0.36%","-","8,256","0.15%","-","11,838","0.21%","-","1,160","0.02%","-","1,388,169","25.14%","5,522,371","IL"
"Indiana","11","1,374,039","49.95%","11","1,345,648","48.91%","-","909","0.03%","-","29,257","1.06%","-","1,024","0.04%","-","87","0.00%","-","90","0.00%","-","28,391","1.03%","2,751,054","IN"
"Iowa","7","828,940","53.93%","7","682,379","44.39%","-","8,014","0.52%","-","4,590","0.30%","-","4,445","0.29%","-","1,423","0.09%","-","7,332","0.48%","-","146,561","9.53%","1,537,123","IA"
"Kansas","6","514,765","41.65%","-","699,655","56.61%","6","10,527","0.85%","-","6,706","0.54%","-","4,148","0.34%","-","35","0.00%","-","36","0.00%","-","-184,890","-14.96%","1,235,872","KS"
"Kentucky","8","751,985","41.17%","-","1,048,462","57.40%","8","15,378","0.84%","-","5,989","0.33%","-","4,694","0.26%","-","0","0.00%","-","112","0.01%","-","-296,477","-16.23%","1,826,620","KY"
"Louisiana","9","782,989","39.93%","-","1,148,275","58.56%","9","6,997","0.36%","-","0","0.00%","-","2,581","0.13%","-","9,187","0.47%","-","10,732","0.55%","-","-365,286","-18.63%","1,960,761","LA"
"Maine†","2","421,923","57.71%","2","295,273","40.38%","-","10,636","1.45%","-","251","0.03%","-","177","0.02%","-","2,900","0.40%","-","3","0.00%","-","126,650","17.32%","731,163","ME"
"Maine's 1st","1","232,145","60.51%","1","144,604","37.69%","-","5,263","1.37%","-","","","-","","","-","1,362","0.36%","-","252","0.07%","-","87,541","22.82%","383,626","ME1"
"Maine's 2nd","1","189,778","54.61%","1","150,669","43.35%","-","5,373","1.55%","-","","","-","","","-","1,538","0.44%","-","179","0.05%","-","39,109","11.25%","347,537","ME2"
"Maryland","10","1,629,467","61.92%","10","959,862","36.47%","-","14,713","0.56%","-","9,842","0.37%","-","3,760","0.14%","-","4,747","0.18%","-","9,205","0.35%","-","669,605","25.44%","2,631,596","MD"
"Massachusetts","12","1,904,097","61.80%","12","1,108,854","35.99%","-","28,841","0.94%","-","13,189","0.43%","-","4,971","0.16%","-","6,550","0.21%","-","14,483","0.47%","-","795,243","25.81%","3,080,985","MA"
"Michigan","17","2,872,579","57.43%","17","2,048,639","40.96%","-","33,085","0.66%","-","23,716","0.47%","-","14,685","0.29%","-","8,892","0.18%","-","170","0.00%","-","823,940","16.47%","5,001,766","MI"
"Minnesota","10","1,573,354","54.06%","10","1,275,409","43.82%","-","30,152","1.04%","-","9,174","0.32%","-","6,787","0.23%","-","5,174","0.18%","-","10,319","0.35%","-","297,945","10.24%","2,910,369","MN"
"Mississippi","6","554,662","43.00%","-","724,597","56.18%","6","4,011","0.31%","-","2,529","0.20%","-","2,551","0.20%","-","1,034","0.08%","-","481","0.04%","-","-169,935","-13.17%","1,289,865","MS"
"Missouri","11","1,441,911","49.29%","-","1,445,814","49.43%","11","17,813","0.61%","-","11,386","0.39%","-","8,201","0.28%","-","80","0.00%","-","0","0.00%","-","-3,903","-0.13%","2,925,205","MO"
"Montana","3","231,667","47.25%","-","242,763","49.51%","3","3,686","0.75%","-","1,355","0.28%","-","143","0.03%","-","23","0.00%","-","10,665","2.18%","-","-11,096","-2.26%","490,302","MT"
"Nebraska†","2","333,319","41.60%","-","452,979","56.53%","2","5,406","0.67%","-","2,740","0.34%","-","2,972","0.37%","-","1,028","0.13%","-","2,837","0.35%","-","-119,660","-14.93%","801,281","NE"
"Nebraska's 1st","1","121,411","44.33%","-","148,179","54.10%","1","1,963","0.72%","-","922","0.34%","-","1,024","0.37%","-","394","0.14%","-","","","-","-26,768","-9.77%","273,893","NE1"
"Nebraska's 2nd","1","138,809","49.97%","1","135,439","48.75%","-","1,628","0.59%","-","1,014","0.36%","-","599","0.22%","-","320","0.12%","-","","","-","3,370","1.21%","277,809","NE2"
"Nebraska's 3rd","1","73,099","29.63%","-","169,361","68.64%","1","1,815","0.74%","-","804","0.33%","-","1,349","0.55%","-","314","0.13%","-","","","-","-96,262","-39.01%","246,742","NE3"
"Nevada","5","533,736","55.15%","5","412,827","42.65%","-","6,150","0.64%","-","4,263","0.44%","-","3,194","0.33%","-","1,411","0.15%","-","6,267","0.65%","-","120,909","12.49%","967,848","NV"
"New Hampshire","4","384,826","54.13%","4","316,534","44.52%","-","3,503","0.49%","-","2,217","0.31%","-","226","0.03%","-","40","0.01%","-","3,624","0.51%","-","68,292","9.61%","710,970","NH"
"New Jersey","15","2,215,422","57.27%","15","1,613,207","41.70%","-","21,298","0.55%","-","8,441","0.22%","-","3,956","0.10%","-","3,636","0.09%","-","2,277","0.06%","-","602,215","15.57%","3,868,237","NJ"
"New Mexico","5","472,422","56.91%","5","346,832","41.78%","-","5,327","0.64%","-","2,428","0.29%","-","1,597","0.19%","-","1,552","0.19%","-","0","0.00%","-","125,590","15.13%","830,158","NM"
"New York","31","4,804,945","62.88%","31","2,752,771","36.03%","-","41,249","0.54%","-","19,596","0.26%","-","634","0.01%","-","12,801","0.17%","-","8,935","0.12%","-","2,052,174","26.86%","7,640,931","NY"
"North Carolina","15","2,142,651","49.70%","15","2,128,474","49.38%","-","1,448","0.03%","-","25,722","0.60%","-","0","0.00%","-","158","0.00%","-","12,336","0.29%","-","14,177","0.33%","4,310,789","NC"
"North Dakota","3","141,278","44.62%","-","168,601","53.25%","3","4,189","1.32%","-","1,354","0.43%","-","1,199","0.38%","-","0","0.00%","-","0","0.00%","-","-27,323","-8.63%","316,621","ND"
"Ohio","20","2,940,044","51.50%","20","2,677,820","46.91%","-","42,337","0.74%","-","19,917","0.35%","-","12,565","0.22%","-","8,518","0.15%","-","7,149","0.13%","-","262,224","4.59%","5,708,350","OH"
"Oklahoma","7","502,496","34.35%","-","960,165","65.65%","7","0","0.00%","-","0","0.00%","-","0","0.00%","-","0","0.00%","-","0","0.00%","-","-457,669","-31.29%","1,462,661","OK"
"Oregon","7","1,037,291","56.75%","7","738,475","40.40%","-","18,614","1.02%","-","7,635","0.42%","-","7,693","0.42%","-","4,543","0.25%","-","13,613","0.74%","-","298,816","16.35%","1,827,864","OR"
"Pennsylvania","21","3,276,363","54.49%","21","2,655,885","44.17%","-","42,977","0.71%","-","19,912","0.33%","-","1,092","0.02%","-","0","0.00%","-","17,043","0.28%","-","620,478","10.32%","6,013,272","PA"
"Rhode Island","4","296,571","62.86%","4","165,391","35.06%","-","4,829","1.02%","-","1,382","0.29%","-","675","0.14%","-","797","0.17%","-","2,121","0.45%","-","131,180","27.81%","471,766","RI"
"South Carolina","8","862,449","44.90%","-","1,034,896","53.87%","8","5,053","0.26%","-","7,283","0.38%","-","6,827","0.36%","-","4,461","0.23%","-","0","0.00%","-","-172,447","-8.98%","1,920,969","SC"
"South Dakota","3","170,924","44.75%","-","203,054","53.16%","3","4,267","1.12%","-","1,835","0.48%","-","1,895","0.50%","-","0","0.00%","-","0","0.00%","-","-32,130","-8.41%","381,975","SD"
"Tennessee","11","1,087,437","41.83%","-","1,479,178","56.90%","11","11,560","0.44%","-","8,547","0.33%","-","8,191","0.32%","-","2,499","0.10%","-","2,337","0.09%","-","-391,741","-15.07%","2,599,749","TN"
"Texas","34","3,528,633","43.68%","-","4,479,328","55.45%","34","5,751","0.07%","-","56,116","0.69%","-","5,708","0.07%","-","909","0.01%","-","1,350","0.02%","-","-950,695","-11.77%","8,077,795","TX"
"Utah","5","327,670","34.41%","-","596,030","62.58%","5","8,416","0.88%","-","6,966","0.73%","-","12,012","1.26%","-","982","0.10%","-","294","0.03%","-","-268,360","-28.18%","952,370","UT"
"Vermont","3","219,262","67.46%","3","98,974","30.45%","-","3,339","1.03%","-","1,067","0.33%","-","500","0.15%","-","66","0.02%","-","1,838","0.57%","-","120,288","37.01%","325,046","VT"
"Virginia","13","1,959,532","52.63%","13","1,725,005","46.33%","-","11,483","0.31%","-","11,067","0.30%","-","7,474","0.20%","-","2,344","0.06%","-","6,355","0.17%","-","234,527","6.30%","3,723,260","VA"
"Washington","11","1,750,848","57.65%","11","1,229,216","40.48%","-","29,489","0.97%","-","12,728","0.42%","-","9,432","0.31%","-","3,819","0.13%","-","1,346","0.04%","-","521,632","17.18%","3,036,878","WA"
"West Virginia","5","303,857","42.59%","-","397,466","55.71%","5","7,219","1.01%","-","0","0.00%","-","2,465","0.35%","-","2,355","0.33%","-","89","0.01%","-","-93,609","-13.12%","713,451","WV"
"Wisconsin","10","1,677,211","56.22%","10","1,262,393","42.31%","-","17,605","0.59%","-","8,858","0.30%","-","5,072","0.17%","-","4,216","0.14%","-","8,062","0.27%","-","414,818","13.90%","2,983,417","WI"
"Wyoming","3","82,868","32.54%","-","164,958","64.78%","3","2,525","0.99%","-","1,594","0.63%","-","1,192","0.47%","-","0","0.00%","-","1,521","0.60%","-","-82,090","-32.24%","254,658","WY"
"U.S. Total","538","69,498,516","52.93%","365","59,948,323","45.65%","173","739,034","0.56%","-","523,715","0.40%","-","199,750","0.15%","-","161,797","0.12%","-","242,685","0.18%","-","9,550,193","7.27%","131,313,820","US"